id,tenant_id,student_id,evaluator_id,evaluated_at,age_years,weight_kg,height_cm,wingspan_cm,waist_cm,hip_cm,imc,rce,sit_and_reach_cm,abdominal_reps,horizontal_jump_cm,medicine_ball_m,square_test_s,sprint_20m_s,run_6min_m,classifications,ai_diagnosis,notes,created_at,updated_at,ai_technical,ai_family,ai_goals,demo_data
d7b9b91c-1a81-48f0-8329-e0085a849a2f,07cc7290-5d3f-421b-a514-b21d6a683494,ee9c16fc-d8dc-4291-909a-9ffaac5b3717,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-01-19,11,43.40,147.80,149.80,60.10,,19.87,0.407,29.50,41,178.00,4.80,6.25,3.72,1220.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Muito Bom"", ""jump"": ""Muito Bom"", ""run6"": ""Bom"", ""mball"": ""Muito Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Atenção ao IMC: orientar família sobre hábitos alimentares e manter monitoramento trimestral.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
b502e28e-8810-42fa-9e03-db3f9f9bc876,07cc7290-5d3f-421b-a514-b21d6a683494,ee9c16fc-d8dc-4291-909a-9ffaac5b3717,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-05-19,12,44.60,148.60,150.60,59.70,,20.20,0.402,31.00,44,184.00,5.10,6.10,3.64,1280.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Muito Bom"", ""jump"": ""Muito Bom"", ""run6"": ""Bom"", ""mball"": ""Muito Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Evolução excelente em potência de membros superiores (medicine ball). Manter treino com cargas progressivas.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
8b346246-b4bf-4b48-9abc-ca8182310709,07cc7290-5d3f-421b-a514-b21d6a683494,502d9acb-65f2-446c-9f1a-8fef4e635bcf,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2025-09-19,13,47.00,155.00,153.00,64.50,,19.56,0.416,29.00,34,173.00,4.10,6.45,3.84,1170.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Bom"", ""flex"": ""Razoável"", ""jump"": ""Muito Bom"", ""run6"": ""Bom"", ""mball"": ""Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Atenção ao IMC: orientar família sobre hábitos alimentares e manter monitoramento trimestral.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
ae1adb14-6200-473f-80c1-e31c0d73cb49,07cc7290-5d3f-421b-a514-b21d6a683494,502d9acb-65f2-446c-9f1a-8fef4e635bcf,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-01-19,13,48.20,155.80,153.80,64.10,,19.86,0.411,30.50,37,179.00,4.40,6.30,3.76,1230.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Razoável"", ""jump"": ""Muito Bom"", ""run6"": ""Bom"", ""mball"": ""Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Evolução excelente em potência de membros superiores (medicine ball). Manter treino com cargas progressivas.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
a6301640-8779-4292-bd13-7a580f67aefb,07cc7290-5d3f-421b-a514-b21d6a683494,502d9acb-65f2-446c-9f1a-8fef4e635bcf,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-05-19,13,49.40,156.60,154.60,63.70,,20.14,0.407,32.00,40,185.00,4.70,6.15,3.68,1290.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Razoável"", ""jump"": ""Excelente"", ""run6"": ""Bom"", ""mball"": ""Bom"", ""sprint"": ""Muito Bom"", ""square"": ""Bom""}",Resultados em flexibilidade abaixo da meta — incluir rotina de alongamento ativo nas aulas.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
0d9772d6-ae79-49e7-a68b-4ed147ee68a7,07cc7290-5d3f-421b-a514-b21d6a683494,f07c525e-de5b-442e-94d6-f1452c23766d,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2025-09-19,13,53.30,161.00,160.00,65.50,,20.56,0.407,30.00,35,174.00,4.20,6.50,3.88,1180.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Bom"", ""flex"": ""Muito Bom"", ""jump"": ""Bom"", ""run6"": ""Razoável"", ""mball"": ""Razoável"", ""sprint"": ""Razoável"", ""square"": ""Fraco""}",Evolução excelente em potência de membros superiores (medicine ball). Manter treino com cargas progressivas.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
190b9b66-1719-42c7-a3a7-1c12ff588dcd,07cc7290-5d3f-421b-a514-b21d6a683494,0e46589c-f78c-4210-9160-10bad6abeb4d,,2026-06-21,15,,,,,,,,47.00,,,,,,,"{""flex"": ""Excelente""}",,,2026-06-21 15:26:26.04731+00,2026-06-21 15:26:26.04731+00,,,,f
b0738d0b-b0a1-4d28-9b26-629c2f7a461f,07cc7290-5d3f-421b-a514-b21d6a683494,f07c525e-de5b-442e-94d6-f1452c23766d,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-01-19,13,54.50,161.80,160.80,65.10,,20.82,0.402,31.50,38,180.00,4.50,6.35,3.80,1240.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Bom"", ""flex"": ""Muito Bom"", ""jump"": ""Bom"", ""run6"": ""Razoável"", ""mball"": ""Razoável"", ""sprint"": ""Razoável"", ""square"": ""Fraco""}",Resultados em flexibilidade abaixo da meta — incluir rotina de alongamento ativo nas aulas.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
1f5d1c3e-3509-4110-ae32-f45d25d044a6,07cc7290-5d3f-421b-a514-b21d6a683494,f07c525e-de5b-442e-94d6-f1452c23766d,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-05-19,13,55.70,162.60,161.60,64.70,,21.07,0.398,33.00,41,186.00,4.80,6.20,3.72,1300.00,"{""imc"": ""Excelente"", ""rce"": ""Razoável"", ""abdo"": ""Muito Bom"", ""flex"": ""Muito Bom"", ""jump"": ""Bom"", ""run6"": ""Bom"", ""mball"": ""Bom"", ""sprint"": ""Razoável"", ""square"": ""Fraco""}",Perfil de baixo risco. Recomenda-se participação em modalidades coletivas para socialização.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
8dcd2b32-a6f4-42d0-a48a-f7124b1f1bb9,07cc7290-5d3f-421b-a514-b21d6a683494,b02771c8-a876-48e7-8425-dc036fb8dac5,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2025-09-19,15,57.60,160.00,160.00,62.50,,22.50,0.391,31.00,36,175.00,4.30,6.55,3.92,1190.00,"{""imc"": ""Razoável"", ""rce"": ""Razoável"", ""abdo"": ""Bom"", ""flex"": ""Razoável"", ""jump"": ""Muito Bom"", ""run6"": ""Bom"", ""mball"": ""Razoável"", ""sprint"": ""Bom"", ""square"": ""Fraco""}",Resultados em flexibilidade abaixo da meta — incluir rotina de alongamento ativo nas aulas.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
58006d33-5e9f-4c96-8a09-9fb5bcc710a4,07cc7290-5d3f-421b-a514-b21d6a683494,b02771c8-a876-48e7-8425-dc036fb8dac5,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-01-19,15,58.80,160.80,160.80,62.10,,22.74,0.386,32.50,39,181.00,4.60,6.40,3.84,1250.00,"{""imc"": ""Razoável"", ""rce"": ""Razoável"", ""abdo"": ""Muito Bom"", ""flex"": ""Razoável"", ""jump"": ""Muito Bom"", ""run6"": ""Bom"", ""mball"": ""Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Perfil de baixo risco. Recomenda-se participação em modalidades coletivas para socialização.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
a3fce6c1-ddb2-4d7f-8415-efa4cdf18a3d,07cc7290-5d3f-421b-a514-b21d6a683494,b02771c8-a876-48e7-8425-dc036fb8dac5,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-05-19,15,60.00,161.60,161.60,61.70,,22.98,0.382,34.00,42,187.00,4.90,6.25,3.76,1310.00,"{""imc"": ""Razoável"", ""rce"": ""Razoável"", ""abdo"": ""Muito Bom"", ""flex"": ""Razoável"", ""jump"": ""Muito Bom"", ""run6"": ""Muito Bom"", ""mball"": ""Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Aluno demonstra evolução consistente em força e resistência cardiorrespiratória. Recomenda-se manter periodização atual.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
830b6419-1375-45c3-88d5-5901fec7d16f,07cc7290-5d3f-421b-a514-b21d6a683494,b259bead-313e-423f-aaa4-614561e9ada9,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2025-09-19,15,65.90,168.00,169.00,63.50,,23.35,0.378,28.00,37,168.00,4.40,6.40,3.80,1200.00,"{""imc"": ""Razoável"", ""rce"": ""Razoável"", ""abdo"": ""Razoável"", ""flex"": ""Bom"", ""jump"": ""Fraco"", ""run6"": ""Fraco"", ""mball"": ""Fraco"", ""sprint"": ""Fraco"", ""square"": ""Muito Fraco""}",Perfil de baixo risco. Recomenda-se participação em modalidades coletivas para socialização.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
84875930-acb8-4d2a-bc07-b1338df797bd,07cc7290-5d3f-421b-a514-b21d6a683494,b259bead-313e-423f-aaa4-614561e9ada9,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-01-19,15,67.10,168.80,169.80,63.10,,23.55,0.374,29.50,40,174.00,4.70,6.25,3.72,1260.00,"{""imc"": ""Razoável"", ""rce"": ""Razoável"", ""abdo"": ""Bom"", ""flex"": ""Bom"", ""jump"": ""Fraco"", ""run6"": ""Razoável"", ""mball"": ""Fraco"", ""sprint"": ""Razoável"", ""square"": ""Muito Fraco""}",Aluno demonstra evolução consistente em força e resistência cardiorrespiratória. Recomenda-se manter periodização atual.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
57bc555d-9824-480b-9b06-180cffbcf150,07cc7290-5d3f-421b-a514-b21d6a683494,b259bead-313e-423f-aaa4-614561e9ada9,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-05-19,15,68.30,169.60,170.60,62.70,,23.74,0.370,31.00,43,180.00,5.00,6.10,3.64,1320.00,"{""imc"": ""Razoável"", ""rce"": ""Razoável"", ""abdo"": ""Bom"", ""flex"": ""Bom"", ""jump"": ""Razoável"", ""run6"": ""Razoável"", ""mball"": ""Razoável"", ""sprint"": ""Razoável"", ""square"": ""Fraco""}",Composição corporal dentro do esperado para idade. Boa progressão na flexibilidade e potência de membros inferiores.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
f4ad127e-6fe3-445c-ae0a-b937eddc45bd,07cc7290-5d3f-421b-a514-b21d6a683494,a012e8ee-ddbf-4165-bbd1-c63d50ed5bd4,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2025-09-19,16,59.20,172.00,174.00,67.50,,20.01,0.392,29.00,38,169.00,4.50,6.45,3.84,1120.00,"{""imc"": ""Excelente"", ""rce"": ""Razoável"", ""abdo"": ""Bom"", ""flex"": ""Fraco"", ""jump"": ""Bom"", ""run6"": ""Razoável"", ""mball"": ""Bom"", ""sprint"": ""Bom"", ""square"": ""Fraco""}",Aluno demonstra evolução consistente em força e resistência cardiorrespiratória. Recomenda-se manter periodização atual.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
16e25993-5f94-4275-a279-728dcd6ff9ce,07cc7290-5d3f-421b-a514-b21d6a683494,a012e8ee-ddbf-4165-bbd1-c63d50ed5bd4,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-01-19,17,60.40,172.80,174.80,67.10,,20.23,0.388,30.50,41,175.00,4.80,6.30,3.76,1180.00,"{""imc"": ""Excelente"", ""rce"": ""Razoável"", ""abdo"": ""Muito Bom"", ""flex"": ""Fraco"", ""jump"": ""Bom"", ""run6"": ""Bom"", ""mball"": ""Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Composição corporal dentro do esperado para idade. Boa progressão na flexibilidade e potência de membros inferiores.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
fa4856e3-ee9d-462f-8a4d-cbe093531442,07cc7290-5d3f-421b-a514-b21d6a683494,a012e8ee-ddbf-4165-bbd1-c63d50ed5bd4,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-05-19,17,61.60,173.60,175.60,66.70,,20.44,0.384,32.00,44,181.00,5.10,6.15,3.68,1240.00,"{""imc"": ""Excelente"", ""rce"": ""Razoável"", ""abdo"": ""Muito Bom"", ""flex"": ""Razoável"", ""jump"": ""Muito Bom"", ""run6"": ""Bom"", ""mball"": ""Bom"", ""sprint"": ""Muito Bom"", ""square"": ""Razoável""}",Performance acima da média da turma. Indicado encaminhamento para grupo de alto rendimento.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
980650ed-bfd2-4bd3-a123-88eb451b25cc,07cc7290-5d3f-421b-a514-b21d6a683494,ab6a9b2f-5b4a-42f5-8d74-42bb44a8f4a0,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2025-09-19,9,33.00,140.00,138.00,58.00,,16.84,0.414,30.00,34,170.00,4.10,6.50,3.88,1130.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Muito Bom"", ""jump"": ""Muito Bom"", ""run6"": ""Bom"", ""mball"": ""Muito Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Composição corporal dentro do esperado para idade. Boa progressão na flexibilidade e potência de membros inferiores.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
df013dd3-4347-4278-bc69-b41b69440558,07cc7290-5d3f-421b-a514-b21d6a683494,ab6a9b2f-5b4a-42f5-8d74-42bb44a8f4a0,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-01-19,10,34.20,140.80,138.80,57.60,,17.25,0.409,31.50,37,176.00,4.40,6.35,3.80,1190.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Excelente"", ""jump"": ""Muito Bom"", ""run6"": ""Bom"", ""mball"": ""Muito Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Performance acima da média da turma. Indicado encaminhamento para grupo de alto rendimento.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
1be39e56-8073-4d44-8d29-067422232761,07cc7290-5d3f-421b-a514-b21d6a683494,ab6a9b2f-5b4a-42f5-8d74-42bb44a8f4a0,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-05-19,10,35.40,141.60,139.60,57.20,,17.66,0.404,33.00,40,182.00,4.70,6.20,3.72,1250.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Excelente"", ""jump"": ""Excelente"", ""run6"": ""Bom"", ""mball"": ""Muito Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Pequenas oscilações em provas de velocidade — focar trabalho técnico de saída e aceleração.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
0d44f485-e3ab-4858-adad-8f85ef880e9a,07cc7290-5d3f-421b-a514-b21d6a683494,af264bfe-04dd-4c58-987f-4ef90f892c05,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2025-09-19,10,36.30,144.00,143.00,60.50,,17.51,0.420,31.00,35,171.00,4.20,6.55,3.92,1140.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Bom"", ""jump"": ""Excelente"", ""run6"": ""Bom"", ""mball"": ""Muito Bom"", ""sprint"": ""Muito Bom"", ""square"": ""Bom""}",Performance acima da média da turma. Indicado encaminhamento para grupo de alto rendimento.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
1ecef3ca-71df-40d7-94f4-bd815481caf5,07cc7290-5d3f-421b-a514-b21d6a683494,af264bfe-04dd-4c58-987f-4ef90f892c05,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-01-19,11,37.50,144.80,143.80,60.10,,17.89,0.415,32.50,38,177.00,4.50,6.40,3.84,1200.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Bom"", ""jump"": ""Excelente"", ""run6"": ""Bom"", ""mball"": ""Muito Bom"", ""sprint"": ""Muito Bom"", ""square"": ""Razoável""}",Pequenas oscilações em provas de velocidade — focar trabalho técnico de saída e aceleração.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
57e3d7f0-2a6b-4e19-86c8-95752fb37344,07cc7290-5d3f-421b-a514-b21d6a683494,af264bfe-04dd-4c58-987f-4ef90f892c05,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-05-19,11,38.70,145.60,144.60,59.70,,18.26,0.410,34.00,41,183.00,4.80,6.25,3.76,1260.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Excelente"", ""flex"": ""Bom"", ""jump"": ""Excelente"", ""run6"": ""Muito Bom"", ""mball"": ""Muito Bom"", ""sprint"": ""Muito Bom"", ""square"": ""Bom""}",Indicadores de saúde estáveis. Continuar reforço de treinos funcionais e mobilidade.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
aaf4789e-376d-4800-8a02-727bab7a02bf,07cc7290-5d3f-421b-a514-b21d6a683494,4e56c71f-b960-4157-967a-ff03ceb52e9b,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2025-09-19,11,40.60,148.00,148.00,61.50,,18.54,0.416,28.00,36,172.00,4.30,6.40,3.80,1150.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Bom"", ""flex"": ""Bom"", ""jump"": ""Muito Bom"", ""run6"": ""Razoável"", ""mball"": ""Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Pequenas oscilações em provas de velocidade — focar trabalho técnico de saída e aceleração.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
bc522c16-a71e-4e12-bacb-0c919cd779e0,07cc7290-5d3f-421b-a514-b21d6a683494,4e56c71f-b960-4157-967a-ff03ceb52e9b,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-01-19,12,41.80,148.80,148.80,61.10,,18.88,0.411,29.50,39,178.00,4.60,6.25,3.72,1210.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Muito Bom"", ""jump"": ""Bom"", ""run6"": ""Bom"", ""mball"": ""Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Indicadores de saúde estáveis. Continuar reforço de treinos funcionais e mobilidade.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
